year,product_code,product_name,cost_band,plant_code,segment_code,customer_code,sales_volume,unit_price,unit_cost,margin_rate
2024,P001,Product_001,low,A,industrial,Customer_E,710,61257.69,47607.54,0.223
2024,P001,Product_001,low,A,industrial,Customer_G,710,54514.01,45520.71,0.165
2024,P001,Product_001,low,A,industrial,Customer_A,710,53367.36,48868.68,0.084
2024,P001,Product_001,low,A,electronics,Customer_B,1056,61928.44,50674.36,0.182
2024,P001,Product_001,low,A,electronics,Customer_G,1056,70413.96,48836.37,0.306
2024,P001,Product_001,low,A,electronics,Customer_I,1056,62014.95,45993.65,0.258
2024,P001,Product_001,low,A,oil_gas,Customer_C,1045,65594.96,48723.47,0.257
2024,P001,Product_001,low,A,oil_gas,Customer_H,1045,68279.92,44615.1,0.347
2024,P001,Product_001,low,A,oil_gas,Customer_J,1045,73843.2,45972.8,0.377
2024,P001,Product_001,low,A,others,Customer_D,565,51154.67,48718.73,0.048
2024,P001,Product_001,low,A,others,Customer_H,565,52011.05,46793.29,0.1
2024,P001,Product_001,low,B,industrial,Customer_G,1258,65596.17,50405.58,0.232
2024,P001,Product_001,low,B,industrial,Customer_E,1258,58505.48,49617.67,0.152
2024,P001,Product_001,low,B,electronics,Customer_J,652,66506.36,56086.92,0.157
2024,P001,Product_001,low,B,electronics,Customer_F,652,69797.53,54757.13,0.215
2024,P001,Product_001,low,B,electronics,Customer_B,652,70573.88,53989.57,0.235
2024,P001,Product_001,low,B,oil_gas,Customer_I,510,88539.5,52919.73,0.402
2024,P001,Product_001,low,B,oil_gas,Customer_C,510,88052.49,53536.19,0.392
2024,P001,Product_001,low,B,others,Customer_H,737,59724.61,48850.74,0.182
2024,P001,Product_001,low,B,others,Customer_D,737,51728.56,48630.32,0.06
2024,P002,Product_002,low,A,industrial,Customer_G,4547,56209.77,48233.61,0.142
2024,P002,Product_002,low,A,electronics,Customer_F,4005,64561.0,47215.02,0.269
2024,P002,Product_002,low,A,oil_gas,Customer_J,4638,71234.97,47315.03,0.336
2024,P002,Product_002,low,A,others,Customer_H,4556,52405.7,49910.19,0.048
2024,P002,Product_002,low,B,industrial,Customer_E,1071,67019.79,53637.04,0.2
2024,P002,Product_002,low,B,industrial,Customer_J,1071,66879.71,54688.33,0.182
2024,P002,Product_002,low,B,industrial,Customer_G,1071,61130.25,50700.97,0.171
2024,P002,Product_002,low,B,electronics,Customer_I,1020,78556.4,50370.1,0.359
2024,P002,Product_002,low,B,electronics,Customer_B,1020,84927.35,52745.08,0.379
2024,P002,Product_002,low,B,electronics,Customer_F,1020,81047.33,49621.18,0.388
2024,P002,Product_002,low,B,oil_gas,Customer_H,1806,84350.08,51390.83,0.391
2024,P002,Product_002,low,B,oil_gas,Customer_C,1806,79957.85,51876.5,0.351
2024,P002,Product_002,low,B,others,Customer_H,2002,55544.01,51979.15,0.064
2024,P002,Product_002,low,B,others,Customer_D,2002,58001.67,49789.38,0.142
2024,P003,Product_003,low,A,industrial,Customer_E,345,53599.39,48478.66,0.096
2024,P003,Product_003,low,A,industrial,Customer_J,345,58110.25,47327.06,0.186
2024,P003,Product_003,low,A,industrial,Customer_G,345,61319.59,47000.1,0.234
2024,P003,Product_003,low,A,electronics,Customer_I,2472,71504.14,47141.2,0.341
2024,P003,Product_003,low,A,electronics,Customer_G,2472,72702.51,48858.03,0.328
2024,P003,Product_003,low,A,oil_gas,Customer_H,1806,79769.36,47128.82,0.409
2024,P003,Product_003,low,A,oil_gas,Customer_J,1806,75946.18,45818.9,0.397
2024,P003,Product_003,low,A,others,Customer_H,1702,48364.91,46035.77,0.048
2024,P003,Product_003,low,B,industrial,Customer_G,400,65227.45,52342.75,0.198
2024,P003,Product_003,low,B,industrial,Customer_J,400,59595.77,51800.96,0.131
2024,P003,Product_003,low,B,industrial,Customer_E,400,59277.18,53889.5,0.091
2024,P003,Product_003,low,B,electronics,Customer_G,1815,76002.22,52673.56,0.307
2024,P003,Product_003,low,B,oil_gas,Customer_H,2275,84048.41,51967.52,0.382
2024,P003,Product_003,low,B,others,Customer_H,1884,55810.0,53152.38,0.048
2024,P003,Product_003,low,B,others,Customer_D,1884,53183.35,49254.04,0.074
2024,P004,Product_004,low,A,industrial,Customer_A,896,58195.01,46184.37,0.206
2024,P004,Product_004,low,A,industrial,Customer_G,896,55646.27,46961.95,0.156
2024,P004,Product_004,low,A,electronics,Customer_B,690,66135.07,48581.88,0.265
2024,P004,Product_004,low,A,electronics,Customer_G,690,71528.68,45446.92,0.365
2024,P004,Product_004,low,A,oil_gas,Customer_J,1628,74524.8,47693.7,0.36
2024,P004,Product_004,low,A,oil_gas,Customer_I,1628,66117.63,46918.27,0.29
2024,P004,Product_004,low,A,oil_gas,Customer_C,1628,69190.44,47541.9,0.313
2024,P004,Product_004,low,A,others,Customer_H,1184,54814.89,45763.2,0.165
2024,P004,Product_004,low,A,others,Customer_D,1184,57410.39,44609.65,0.223
2024,P004,Product_004,low,B,industrial,Customer_G,4134,62735.16,53190.27,0.152
2024,P004,Product_004,low,B,electronics,Customer_B,899,77383.3,53652.31,0.307
2024,P004,Product_004,low,B,electronics,Customer_G,899,72586.66,51317.06,0.293
2024,P004,Product_004,low,B,electronics,Customer_F,899,82618.74,55635.68,0.327
2024,P004,Product_004,low,B,oil_gas,Customer_H,1520,79935.04,54620.97,0.317
2024,P004,Product_004,low,B,oil_gas,Customer_J,1520,88966.71,55481.64,0.376
2024,P004,Product_004,low,B,oil_gas,Customer_C,1520,87034.2,54172.7,0.378
2024,P004,Product_004,low,B,others,Customer_H,3182,56835.25,54128.81,0.048
2024,P005,Product_005,low,A,industrial,Customer_J,2052,58685.39,46097.28,0.215
2024,P005,Product_005,low,A,industrial,Customer_A,2052,52972.06,48733.96,0.08
2024,P005,Product_005,low,A,electronics,Customer_F,1376,63241.21,44026.94,0.304
2024,P005,Product_005,low,A,electronics,Customer_J,1376,67541.68,44770.5,0.337
2024,P005,Product_005,low,A,oil_gas,Customer_J,1258,75523.79,46023.62,0.391
2024,P005,Product_005,low,A,oil_gas,Customer_H,1258,72534.72,46846.49,0.354
2024,P005,Product_005,low,A,oil_gas,Customer_C,1258,70691.05,50242.05,0.289
2024,P005,Product_005,low,A,others,Customer_H,3660,55230.17,49240.94,0.108
2024,P005,Product_005,low,B,industrial,Customer_G,1014,65308.16,53945.5,0.174
2024,P005,Product_005,low,B,industrial,Customer_J,1014,60398.56,55186.82,0.086
2024,P005,Product_005,low,B,electronics,Customer_J,623,71867.65,55013.93,0.235
2024,P005,Product_005,low,B,electronics,Customer_F,623,83804.1,54879.07,0.345
2024,P005,Product_005,low,B,electronics,Customer_B,623,74833.99,50139.81,0.33
2024,P005,Product_005,low,B,oil_gas,Customer_I,2881,84134.32,53504.58,0.364
2024,P005,Product_005,low,B,others,Customer_H,2323,53214.49,49428.56,0.071
2024,P005,Product_005,low,B,others,Customer_D,2323,53476.49,50929.99,0.048
2024,P006,Product_006,low,A,industrial,Customer_G,1010,60834.0,50719.01,0.166
2024,P006,Product_006,low,A,industrial,Customer_J,1010,52025.75,47212.46,0.093
2024,P006,Product_006,low,A,electronics,Customer_B,1493,75361.36,48668.67,0.354
2024,P006,Product_006,low,A,electronics,Customer_J,1493,72833.73,48486.72,0.334
2024,P006,Product_006,low,A,electronics,Customer_I,1493,68103.48,46543.49,0.317
