year,product_code,product_name,cost_band,plant,segment,sales_qty,unit_price,sales_amount,unit_cost,margin_rate,customer_name
2024,P001,Product_001,low,A,industrial,2145.0,60080,128871600.0,53458.53,0.11021096744841538,Customer_D
2024,P001,Product_001,low,A,electronics,5157.0,67728,349273296.0,53088.44,0.21615231077010874,Customer_B
2024,P001,Product_001,low,A,oil_gas,2021.0,89850,181586850.0,44080.28,0.5094014155055091,Customer_A
2024,P001,Product_001,low,A,others,851.0,66736,56792336.0,54348.5,0.18561943902384356,Customer_G
2024,P001,Product_001,low,B,industrial,7079.0,68673,486136167.0,59896.85,0.12779616922092044,Customer_H
2024,P001,Product_001,low,B,electronics,3305.0,77505,256154025.0,62588.25,0.19246178899526847,Customer_G
2024,P001,Product_001,low,B,oil_gas,1449.0,87323,126531027.0,46111.32,0.4719452773145163,Customer_E
2024,P001,Product_001,low,B,others,3177.0,86645,275271165.0,67441.19,0.22163778367257345,Customer_A
2024,P002,Product_002,low,A,industrial,514.0,40854,20998956.0,37415.37,0.08416885435256392,Customer_G
2024,P002,Product_002,low,A,electronics,2377.0,64548,153430596.0,48718.46,0.24523668674823315,Customer_G
2024,P002,Product_002,low,A,oil_gas,550.0,78623,43242650.0,35670.13,0.546314286160207,Customer_I
2024,P002,Product_002,low,A,others,3744.0,47392,177435648.0,35866.78,0.2431891512176359,Customer_C
2024,P002,Product_002,low,B,industrial,3961.0,95680,378988480.0,86149.06,0.09961269602043556,Customer_I
2024,P002,Product_002,low,B,electronics,1197.0,86717,103800249.0,71867.88,0.1712365293223094,Customer_A
2024,P002,Product_002,low,B,oil_gas,2063.0,94401,194749263.0,43021.79,0.544265485007018,Customer_A
2024,P002,Product_002,low,B,others,3667.0,61556,225725852.0,48982.9,0.20425473186538518,Customer_D
2024,P003,Product_003,low,A,industrial,9420.0,90859,855891780.0,77472.53,0.1473323855234936,Customer_I
2024,P003,Product_003,low,A,electronics,6584.0,78559,517232456.0,59147.89,0.24708959816714024,Customer_F
2024,P003,Product_003,low,A,oil_gas,1901.0,66309,126053409.0,30618.79,0.5382407564373888,Customer_C
2024,P003,Product_003,low,A,others,862.0,61919,53374178.0,49934.21,0.19355591136556688,Customer_A
2024,P003,Product_003,low,B,industrial,1848.0,44931,83032488.0,40401.6,0.10080781828815402,Customer_D
2024,P003,Product_003,low,B,electronics,2478.0,92662,229616436.0,70600.02,0.23809093372134857,Customer_I
2024,P003,Product_003,low,B,oil_gas,951.0,72970,69394470.0,36824.04,0.49535376041250223,Customer_C
2024,P003,Product_003,low,B,others,2996.0,84215,252308140.0,68756.54,0.1835594197348874,Customer_I
2024,P004,Product_004,low,A,industrial,2402.0,93370,224274740.0,82675.02,0.11454410099666802,Customer_G
2024,P004,Product_004,low,A,electronics,2538.0,52688,133722144.0,39785.11,0.2448923819328625,Customer_D
2024,P004,Product_004,low,A,oil_gas,183.0,65342,11957586.0,30992.86,0.5256823837339979,Customer_C
2024,P004,Product_004,low,A,others,4259.0,77157,328611663.0,60521.57,0.2156048936071492,Customer_J
2024,P004,Product_004,low,B,industrial,4856.0,42327,205539912.0,39035.05,0.07777411950166149,Customer_E
