product_code,product_name,cost_band,plant_code,segment_code,unit_cost,unit_price,unit_profit,margin_rate,sales_qty
P001,Product_001,low,A,electronics,53088.439999999995,67728.0,14639.560000000005,0.21615231077010869,5157.0
P001,Product_001,low,A,industrial,53458.53,60080.0,6621.470000000001,0.1102109674484153,2145.0
P001,Product_001,low,A,oil_gas,44080.28,89850.0,45769.72,0.5094014155055091,2021.0
P001,Product_001,low,A,others,54348.5,66736.0,12387.5,0.1856194390238435,851.0
P001,Product_001,low,B,electronics,62588.25,77505.0,14916.75,0.19246178899526842,3305.0
P001,Product_001,low,B,industrial,59896.85,68673.0,8776.150000000001,0.1277961692209204,7079.0
P001,Product_001,low,B,oil_gas,46111.32,87323.0,41211.68,0.47194527731451624,1449.0
P001,Product_001,low,B,others,67441.19,86645.0,19203.809999999998,0.22163778367257336,3177.0
P002,Product_002,low,A,electronics,48718.46,64548.0,15829.54,0.2452366867482331,2377.0
P002,Product_002,low,A,industrial,37415.37,40854.0,3438.6299999999974,0.0841688543525639,514.0
P002,Product_002,low,A,oil_gas,35670.13,78623.0,42952.87,0.546314286160207,550.0
P002,Product_002,low,A,others,35866.78,47392.0,11525.220000000001,0.2431891512176359,3744.0
P002,Product_002,low,B,electronics,71867.88,86717.0,14849.119999999995,0.1712365293223094,1197.0
P002,Product_002,low,B,industrial,86149.06,95680.0,9530.940000000002,0.0996126960204355,3961.0
P002,Product_002,low,B,oil_gas,43021.79,94401.0,51379.21,0.544265485007018,2063.0
P002,Product_002,low,B,others,48982.9,61556.0,12573.099999999999,0.2042547318653851,3667.0
P003,Product_003,low,A,electronics,59147.89,78559.0,19411.11,0.2470895981671402,6584.0
P003,Product_003,low,A,industrial,77472.53,90859.0,13386.470000000001,0.1473323855234936,9420.0
P003,Product_003,low,A,oil_gas,30618.79,66309.0,35690.21,0.5382407564373888,1901.0
P003,Product_003,low,A,others,49934.20999999999,61919.0,11984.790000000008,0.1935559113655668,862.0
P003,Product_003,low,B,electronics,70600.02,92662.0,22061.979999999996,0.2380909337213485,2478.0
P003,Product_003,low,B,industrial,40401.6,44931.0,4529.4000000000015,0.100807818288154,1848.0
P003,Product_003,low,B,oil_gas,36824.04,72970.0,36145.96,0.4953537604125022,951.0
P003,Product_003,low,B,others,68756.54,84215.0,15458.460000000006,0.1835594197348874,2996.0
P004,Product_004,low,A,electronics,39785.11,52688.0,12902.89,0.24489238193286253,2538.0
P004,Product_004,low,A,industrial,82675.02,93370.0,10694.979999999996,0.11454410099666798,2402.0
P004,Product_004,low,A,oil_gas,30992.86,65342.0,34349.14,0.5256823837339979,183.0
P004,Product_004,low,A,others,60521.57,77157.0,16635.43,0.2156048936071492,4259.0
P004,Product_004,low,B,electronics,63066.729999999996,80772.0,17705.270000000004,0.2192005781359335,4437.0
P004,Product_004,low,B,industrial,39035.05,42327.0,3291.949999999997,0.0777741195016614,4856.0
P004,Product_004,low,B,oil_gas,41510.62,92083.0,50572.38,0.5492043080083411,886.0
P004,Product_004,low,B,others,65949.7,80545.0,14595.300000000003,0.1812067212189219,1438.0
P005,Product_005,low,A,electronics,48254.78,63509.0,15254.220000000001,0.2401898457542364,4398.0
P005,Product_005,low,A,industrial,35716.39,40197.0,4480.610000000001,0.1114663721890989,3636.0
P005,Product_005,low,A,oil_gas,35163.23,74698.0,39534.77,0.5292614894203364,2314.0
P005,Product_005,low,A,others,65455.69,84542.0,19086.309999999998,0.2257612592796214,5997.0
P005,Product_005,low,B,electronics,50214.56,62671.0,12456.440000000002,0.19875929209758042,2786.0
P005,Product_005,low,B,industrial,48135.09,55087.0,6951.9100000000035,0.1261987267189687,1166.0
P005,Product_005,low,B,oil_gas,33016.52,65184.0,32167.480000000003,0.4934873475411594,1123.0
P005,Product_005,low,B,others,51920.76000000001,67848.0,15927.23999999999,0.2347488924382811,737.0
