year,product_code,plant,segment,sales_qty,sales_amount,unit_price,customer_name
2023,P001,B,automotive,17246,194465896.0,11276.0,AUTOMOTIVE-C4
2023,P001,A,construction,13328,315353808.0,23661.0,CONSTRUCTION-C5
2023,P001,B,consumer,11414,304228756.0,26654.0,CONSUMER-C3
2023,P002,A,construction,9952,106934240.0,10745.0,CONSTRUCTION-C1
2023,P002,A,chemical,5721,148168179.0,25899.0,CHEMICAL-C2
2023,P002,A,others,3198,90672894.0,28353.0,OTHERS-C2
2023,P003,B,automotive,16341,192840141.0,11801.0,AUTOMOTIVE-C4
2023,P003,B,electronics,12968,207877040.0,16030.0,ELECTRONICS-C5
2023,P004,B,automotive,14774,185428474.0,12551.0,AUTOMOTIVE-C3
2023,P004,B,chemical,8117,183241275.0,22575.0,CHEMICAL-C1
2023,P005,A,automotive,11833,255841293.0,21621.0,AUTOMOTIVE-C2
2023,P005,A,construction,13098,259523772.0,19814.0,CONSTRUCTION-C3
2023,P006,B,construction,9231,114252087.0,12377.0,CONSTRUCTION-C2
2023,P006,B,consumer,7793,163154248.0,20936.0,CONSUMER-C2
2023,P006,B,others,4480,60990720.0,13614.0,OTHERS-C1
2023,P007,A,automotive,18553,472006873.0,25441.0,AUTOMOTIVE-C4
2023,P007,A,electronics,17231,378875228.0,21988.0,ELECTRONICS-C5
2023,P008,B,chemical,5400,56710800.0,10502.0,CHEMICAL-C4
2023,P008,B,others,5215,104211345.0,19983.0,OTHERS-C1
2023,P009,B,medical,5000,460875000.0,92175.0,MEDICAL-C5
2023,P010,A,electronics,7400,479187000.0,64755.0,ELECTRONICS-C2
2023,P011,B,medical,5000,463315000.0,92663.0,MEDICAL-C3
2023,P012,A,electronics,5000,338965000.0,67793.0,ELECTRONICS-C1
2023,P013,A,chemical,3085,207497100.0,67260.0,CHEMICAL-C4
2023,P013,A,others,2597,242401383.0,93339.0,OTHERS-C4
2023,P014,B,food_beverage,20272,1478295056.0,72923.0,FOOD_BEVERAGE-C3
2023,P015,A,construction,5000,373500000.0,74700.0,CONSTRUCTION-C1
2023,P015,B,automotive,7285,627267640.0,86104.0,AUTOMOTIVE-C1
2023,P016,B,medical,5000,444685000.0,88937.0,MEDICAL-C1
2023,P017,A,chemical,3085,257915255.0,83603.0,CHEMICAL-C1
2023,P018,A,electronics,6635,622376270.0,93802.0,ELECTRONICS-C1
2023,P019,B,consumer,5000,452510000.0,90502.0,CONSUMER-C3
2023,P019,B,electronics,5786,516041768.0,89188.0,ELECTRONICS-C2
2023,P020,A,automotive,9737,865658248.0,88904.0,AUTOMOTIVE-C5
2023,P020,B,electronics,9093,561292704.0,61728.0,ELECTRONICS-C1
