year,product_code,plant,segment,sales_qty,sales_amount,unit_price,customer_name
2022,P001,B,automotive,13693,362262008.0,26456.0,AUTOMOTIVE-C5
2022,P001,A,construction,11066,153728872.0,13892.0,CONSTRUCTION-C4
2022,P001,A,consumer,8477,165420178.0,19514.0,CONSUMER-C1
2022,P002,A,construction,11051,171754642.0,15542.0,CONSTRUCTION-C4
2022,P002,A,chemical,7364,158267088.0,21492.0,CHEMICAL-C4
2022,P002,A,others,7886,84324998.0,10693.0,OTHERS-C2
2022,P003,B,automotive,11416,300023896.0,26281.0,AUTOMOTIVE-C1
2022,P003,B,electronics,11559,276572193.0,23927.0,ELECTRONICS-C2
2022,P004,B,automotive,21992,566953760.0,25780.0,AUTOMOTIVE-C3
2022,P004,B,chemical,11694,272072604.0,23266.0,CHEMICAL-C3
2022,P005,A,automotive,10297,223990641.0,21753.0,AUTOMOTIVE-C5
2022,P005,A,construction,7664,196619920.0,25655.0,CONSTRUCTION-C4
2022,P006,B,construction,14663,235238509.0,16043.0,CONSTRUCTION-C3
2022,P006,B,consumer,8133,239956032.0,29504.0,CONSUMER-C2
2022,P006,B,others,12502,280507374.0,22437.0,OTHERS-C3
2022,P007,A,automotive,20754,577293264.0,27816.0,AUTOMOTIVE-C1
2022,P007,A,electronics,16851,209879205.0,12455.0,ELECTRONICS-C2
2022,P008,A,chemical,7381,210727550.0,28550.0,CHEMICAL-C4
2022,P008,A,others,7371,148650957.0,20167.0,OTHERS-C4
2022,P009,B,medical,5000,493250000.0,98650.0,MEDICAL-C4
2022,P010,A,electronics,7036,684806844.0,97329.0,ELECTRONICS-C5
2022,P011,B,medical,5000,349565000.0,69913.0,MEDICAL-C5
2022,P012,A,electronics,7148,593977356.0,83097.0,ELECTRONICS-C1
2022,P013,A,chemical,5486,521175486.0,95001.0,CHEMICAL-C3
2022,P013,A,others,5411,405521984.0,74944.0,OTHERS-C1
2022,P014,B,food_beverage,8976,759827376.0,84651.0,FOOD_BEVERAGE-C4
2022,P015,A,construction,5000,327950000.0,65590.0,CONSTRUCTION-C2
2022,P015,B,automotive,5453,432073908.0,79236.0,AUTOMOTIVE-C3
2022,P016,B,medical,5961,505939875.0,84875.0,MEDICAL-C4
2022,P017,A,chemical,6291,577545255.0,91805.0,CHEMICAL-C4
2022,P018,A,electronics,7056,569475648.0,80708.0,ELECTRONICS-C3
2022,P019,B,consumer,5000,434245000.0,86849.0,CONSUMER-C5
2022,P019,B,electronics,5251,511688946.0,97446.0,ELECTRONICS-C1
2022,P020,A,automotive,10664,843810328.0,79127.0,AUTOMOTIVE-C3
2022,P020,A,electronics,9230,698129510.0,75637.0,ELECTRONICS-C5
