year,product_code,plant,production_qty,unit_cost,cost_amount
2023,P001,A,14633,12434.918796413596,181960166.74792016
2023,P001,B,31348,9647.56087348758,302431738.26208866
2023,P002,A,26217,11474.685553733021,300831831.16221863
2023,P003,B,33044,7137.193459232614,235841420.66688251
2023,P004,B,28365,10106.269393486014,286664331.3462308
2023,P005,A,28252,10834.454391669098,306095005.47343534
2023,P006,B,28095,7554.247372654774,212236579.9347359
2023,P007,A,40327,10957.26362208249,441873570.0877206
2023,P008,B,18705,9735.345980040172,182099646.5566514
2023,P009,B,5068,49198.585706690414,249338432.36150703
2023,P010,A,8328,35103.149032025234,292339025.13870615
2023,P011,B,5245,53524.50998102168,280736054.8504587
2023,P012,A,5153,35655.67186343105,183733677.11226022
2023,P013,A,9183,44586.45514932772,409437417.6362764
2023,P014,B,6815,46814.67578181872,319042015.45309454
2023,P015,A,5011,37514.52126209059,187985266.04433593
2023,P015,B,8268,56422.21313582634,466498858.2070122
2023,P016,B,5177,58690.08782269246,303838584.65807885
2023,P017,A,4186,46469.82764552995,194522698.52418837
2023,P018,A,7245,49062.37957365285,355456940.0111149
2023,P019,B,11392,55624.41841776185,633673374.6151431
2023,P020,A,11102,46047.90533599188,511223845.0401819
2023,P020,B,10110,35955.00441550054,363505094.6407104
