year,product_code,plant,production_qty,unit_cost,cost_amount
2022,P001,A,20420,7881.87397698589,160947866.61005187
2022,P001,B,13713,14951.826241995626,205034393.25648603
2022,P002,A,26618,7838.514019883858,208645566.18126854
2022,P003,B,23139,12000.713195223276,277684502.6242714
2022,P004,B,34994,13410.025594016899,469270435.6370274
2022,P005,A,18139,12203.581872875458,221360771.59208795
2022,P006,B,36905,10876.534263504496,401398496.99463344
2022,P007,A,38839,11217.154094991514,435663047.89537543
2022,P008,A,14779,13030.047944818767,192571078.57647654
2022,P009,B,5001,62698.52113872975,313555304.2147875
2022,P010,A,7054,58124.12667362423,410007589.55574536
2022,P011,B,5151,43888.4594841874,226069454.8030493
2022,P012,A,7434,45489.967106118376,338172415.466884
2022,P013,A,11027,52565.426464772805,579638957.6270497
2022,P014,B,9357,51763.2603415352,484348827.01574486
2022,P015,A,5014,37039.50791327735,185716092.67717266
2022,P015,B,5671,49411.329178025684,280211647.76858366
2022,P016,B,6238,49380.57462368079,308036024.50252074
2022,P017,A,6534,52963.30395266852,346062228.0267361
2022,P018,A,7302,49272.70640590346,359789302.1759071
2022,P019,B,10681,61328.23120286165,655046837.4777653
2022,P020,A,19934,49462.256802951255,985980627.1100303
