product_code,segment_code,plant_code,sales_volume,unit_profit,total_profit
P001,electronics,A,0,14639.560000000003,0.0
P001,industrial,A,0,6621.470000000001,0.0
P001,oil_gas,A,0,45769.72,0.0
P001,others,A,0,12387.5,0.0
P001,electronics,B,0,14916.75,0.0
P001,industrial,B,0,8776.150000000001,0.0
P001,oil_gas,B,0,41211.68,0.0
P001,others,B,0,19203.81,0.0
P002,electronics,A,0,15829.54,0.0
P002,industrial,A,0,3438.6299999999974,0.0
P002,oil_gas,A,0,42952.87,0.0
P002,others,A,0,11525.22,0.0
P002,electronics,B,0,14849.119999999995,0.0
P002,industrial,B,0,9530.940000000002,0.0
P002,oil_gas,B,87516,51379.21,4496502942.36
P002,others,B,0,12573.1,0.0
P003,electronics,A,0,19411.11,0.0
P003,industrial,A,136342,13386.47,1825138092.74
P003,oil_gas,A,0,35690.21,0.0
P003,others,A,0,11984.790000000008,0.0
P003,electronics,B,0,22061.98,0.0
P003,industrial,B,0,4529.4000000000015,0.0
P003,oil_gas,B,0,36145.96,0.0
P003,others,B,0,15458.460000000006,0.0
P004,electronics,A,0,12902.89,0.0
P004,industrial,A,0,10694.979999999996,0.0
P004,oil_gas,A,0,34349.14,0.0
P004,others,A,0,16635.43,0.0
P004,electronics,B,0,17705.270000000004,0.0
P004,industrial,B,0,3291.949999999997,0.0
P004,oil_gas,B,0,50572.38,0.0
P004,others,B,0,14595.300000000005,0.0
P005,electronics,A,0,15254.22,0.0
P005,industrial,A,0,4480.610000000001,0.0
P005,oil_gas,A,0,39534.77,0.0
P005,others,A,0,19086.31,0.0
P005,electronics,B,0,12456.440000000002,0.0
P005,industrial,B,0,6951.910000000004,0.0
P005,oil_gas,B,0,32167.480000000003,0.0
P005,others,B,0,15927.23999999999,0.0
P006,electronics,A,0,14521.36,0.0
P006,industrial,A,0,11068.770000000004,0.0
P006,oil_gas,A,0,45810.85,0.0
P006,others,A,0,19332.399999999998,0.0
P006,electronics,B,0,15521.53,0.0
P006,industrial,B,0,6134.639999999999,0.0
P006,oil_gas,B,0,46881.08,0.0
P006,others,B,0,9682.019999999997,0.0
P007,electronics,A,151452,20987.09,3178536754.68
P007,industrial,A,0,12865.100000000006,0.0
P007,oil_gas,A,0,23135.21,0.0
P007,others,A,12181,19747.2,240540643.20000002
P007,electronics,B,0,15182.919999999998,0.0
P007,industrial,B,0,5794.820000000007,0.0
P007,oil_gas,B,0,38353.03,0.0
P007,others,B,0,10654.82,0.0
P008,electronics,A,0,8051.459999999999,0.0
P008,industrial,A,0,4866.599999999999,0.0
P008,oil_gas,A,0,30118.89,0.0
P008,others,A,0,8394.379999999997,0.0
P008,electronics,B,0,13757.75,0.0
P008,industrial,B,0,4332.559999999998,0.0
P008,oil_gas,B,0,22825.29,0.0
P008,others,B,0,11364.440000000002,0.0
P009,electronics,A,0,11837.28,0.0
P009,industrial,A,0,8400.559999999998,0.0
P009,oil_gas,A,0,37765.04,0.0
P009,others,A,0,9189.389999999996,0.0
P009,electronics,B,0,8379.349999999999,0.0
P009,industrial,B,0,3699.64,0.0
P009,oil_gas,B,0,40684.96,0.0
P009,others,B,0,18558.149999999998,0.0
P010,electronics,A,0,14122.71,0.0
P010,industrial,A,0,10557.240000000003,0.0
P010,oil_gas,A,0,33127.98,0.0
P010,others,A,0,14855.940000000002,0.0
P010,electronics,B,0,20287.820000000007,0.0
P010,industrial,B,0,5428.760000000002,0.0
P010,oil_gas,B,0,46924.17,0.0
P010,others,B,0,14576.69000000001,0.0
P011,electronics,A,0,14102.169999999998,0.0
P011,industrial,A,0,4973.1500000000015,0.0
P011,oil_gas,A,0,30835.61,0.0
P011,others,A,0,12278.589999999997,0.0
P011,electronics,B,0,8524.010000000002,0.0
P011,industrial,B,0,10800.259999999997,0.0
P011,oil_gas,B,0,34652.37,0.0
P011,others,B,0,14271.03,0.0
P012,electronics,A,0,13035.68,0.0
P012,industrial,A,0,7863.830000000002,0.0
P012,oil_gas,A,0,48636.49,0.0
P012,others,A,0,15564.800000000005,0.0
P012,electronics,B,0,20454.25,0.0
P012,industrial,B,0,4357.1500000000015,0.0
P012,oil_gas,B,0,25076.11,0.0
P012,others,B,0,19789.070000000007,0.0
P013,electronics,A,0,10123.96,0.0
P013,industrial,A,0,8176.4100000000035,0.0
P013,oil_gas,A,0,42944.7,0.0
P013,others,A,0,7345.080000000002,0.0
P013,electronics,B,0,6997.559999999998,0.0
P013,industrial,B,0,4922.82,0.0
P013,oil_gas,B,0,43792.44,0.0
P013,others,B,0,15220.490000000003,0.0
P014,electronics,A,0,15137.46,0.0
P014,industrial,A,0,2779.1800000000003,0.0
P014,oil_gas,A,0,26769.72,0.0
P014,others,A,0,17064.399999999994,0.0
P014,electronics,B,0,8621.870000000003,0.0
P014,industrial,B,0,4204.639999999999,0.0
P014,oil_gas,B,0,40203.57,0.0
P014,others,B,0,15296.14,0.0
P015,electronics,A,0,16069.86,0.0
P015,industrial,A,0,8267.259999999995,0.0
P015,oil_gas,A,0,21247.35,0.0
P015,others,A,0,15735.28,0.0
P015,electronics,B,0,7594.690000000002,0.0
P015,industrial,B,0,3028.8099999999904,0.0
P015,oil_gas,B,0,43475.98,0.0
P015,others,B,0,8173.370000000003,0.0
P016,electronics,A,0,12436.79,0.0
P016,industrial,A,0,10308.210000000006,0.0
P016,oil_gas,A,0,43333.11,0.0
P016,others,A,0,8088.739999999998,0.0
P016,electronics,B,0,13707.309999999998,0.0
P016,industrial,B,0,4346.639999999999,0.0
P016,oil_gas,B,0,43107.75,0.0
P016,others,B,0,15459.669999999998,0.0
P017,electronics,A,0,14206.730000000003,0.0
P017,industrial,A,0,6217.110000000001,0.0
P017,oil_gas,A,0,31756.650000000005,0.0
P017,others,A,0,17479.800000000003,0.0
P017,electronics,B,0,13810.82,0.0
P017,industrial,B,0,6169.239999999998,0.0
P017,oil_gas,B,0,21152.83,0.0
P017,others,B,116484,22433.36,2613127506.2400002
P018,electronics,A,25,14282.490000000003,357062.25000000006
P018,industrial,A,25,7639.389999999999,190984.75
P018,oil_gas,A,25,33704.24,842606.0
P018,others,A,25,9622.830000000002,240570.75000000006
P018,electronics,B,25,13244.740000000003,331118.50000000006
P018,industrial,B,25,2301.959999999999,57548.99999999998
P018,oil_gas,B,25,22484.26,562106.5
P018,others,B,25,12753.61,318840.25
P019,electronics,A,0,18609.39,0.0
P019,industrial,A,0,6103.220000000001,0.0
P019,oil_gas,A,0,27034.89,0.0
P019,others,A,0,12356.28,0.0
P019,electronics,B,0,14485.520000000004,0.0
P019,industrial,B,0,3402.010000000002,0.0
P019,oil_gas,B,0,27498.55,0.0
P019,others,B,0,17494.149999999994,0.0
P020,electronics,A,0,10180.11,0.0
P020,industrial,A,0,5220.910000000004,0.0
P020,oil_gas,A,0,26062.09,0.0
P020,others,A,0,7919.769999999997,0.0
P020,electronics,B,0,14860.14,0.0
P020,industrial,B,0,3834.89,0.0
P020,oil_gas,B,0,45988.65,0.0
P020,others,B,0,20265.770000000004,0.0
