product_code,plant,segment,alloc_qty,unit_margin,margin_rate,alloc_margin
P017,A,chemical,275.6666666666667,3044.764339719146,0.4572624326142159,839340.0363159113
P020,A,automotive,467.0,3119.416858124236,0.4418237457254525,1456767.6727440183
P018,A,electronics,445.3333333333333,3019.8014284778496,0.43720971198544606,1344818.2361488023
P013,A,chemical,199.33333333333334,2917.0919549433947,0.4411767926932253,581473.6630187167
P015,A,automotive,271.0,2988.075582775831,0.4141806864326707,809768.4829322502
P010,A,electronics,224.33333333333334,2789.3903201766148,0.43011316140795386,625753.2284929539
P013,A,others,223.33333333333334,2775.0276111297608,0.4293210353506433,619756.1664856466
P015,A,construction,201.0,2765.68974231583,0.39537766680500014,555903.6382054818
P004,A,automotive,416.0,811.2281821342025,0.49926694946738687,337470.9237678282
P004,A,chemical,540.1999999999999,768.6405982714343,0.48688662828724616,415219.6511862288
P001,A,construction,711.5555555555555,721.8954923814642,0.490012149967257,513668.7481345441
P002,A,others,841.4166666666666,718.950829033732,0.476949080469661,604937.2100627993
P007,A,electronics,92.99999999999997,561.1656189875667,0.49377445851861557,52188.402565843695
P009,B,medical,245.22222222222223,2627.0078608975496,0.38194055326408005,644200.7054445435
P014,B,food_beverage,191.0,2232.133054825915,0.342993857753683,426337.4134717498
P006,B,consumer,1386.6666666666667,492.92524507903926,0.4119947722125577,683523.0065096011
