year,product_code,plant,segment,sales_qty,sales_amount,unit_price,customer_name
2024,P001,A,automotive,1455,2068768.35,1421.83,AUTOMOTIVE-C4
2024,P001,A,construction,946,1393665.72,1473.22,CONSTRUCTION-C5
2024,P002,A,chemical,1781,2593462.49,1456.18,CHEMICAL-C4
2024,P002,A,others,1639,2708583.03,1652.58,OTHERS-C1
2024,P003,B,automotive,1846,2070436.75,1121.58,AUTOMOTIVE-C4
2024,P003,B,electronics,1296,1639137.52,1264.77,ELECTRONICS-C1
2024,P004,A,automotive,1473,2433997.71,1652.41,AUTOMOTIVE-C2
2024,P004,A,chemical,1525,2453567.35,1608.9,CHEMICAL-C5
2024,P005,A,automotive,1227,1932806.46,1575.23,AUTOMOTIVE-C4
2024,P006,B,construction,1805,2198820.49,1218.18,CONSTRUCTION-C5
2024,P006,B,consumer,1958,2339218.45,1194.7,CONSUMER-C5
2024,P006,B,others,1469,1813404.14,1234.45,OTHERS-C1
2024,P007,A,automotive,1874,2160743.41,1153.01,AUTOMOTIVE-C5
2024,P007,A,electronics,2164,2606326.98,1204.4,ELECTRONICS-C2
2024,P008,A,chemical,1708,2447942.24,1433.22,CHEMICAL-C2
2024,P008,B,others,1378,1949349.31,1414.62,OTHERS-C4
2024,P009,B,medical,287,1872634.67,6524.86,MEDICAL-C5
2024,P010,A,electronics,223,1341977.6,6017.84,ELECTRONICS-C5
2024,P011,B,medical,193,1501987.23,7782.32,MEDICAL-C3
2024,P012,B,electronics,230,1579228.92,6866.21,ELECTRONICS-C5
2024,P013,A,chemical,232,1580500.8,6812.5,CHEMICAL-C2
2024,P013,A,others,179,1175426.24,6566.63,OTHERS-C5
2024,P014,B,food_beverage,217,1442029.55,6645.3,FOOD_BEVERAGE-C4
2024,P015,A,construction,194,1351331.22,6965.62,CONSTRUCTION-C1
2024,P015,A,automotive,271,1955109.23,7214.43,AUTOMOTIVE-C5
2024,P016,B,medical,218,1709274.2,7840.71,MEDICAL-C5
2024,P017,A,chemical,269,1794980.0,6672.79,CHEMICAL-C1
2024,P018,A,electronics,422,3004410.91,7119.46,ELECTRONICS-C1
2024,P019,B,electronics,374,2407741.47,6437.81,ELECTRONICS-C5
2024,P020,A,automotive,467,3297169.26,7060.32,AUTOMOTIVE-C3
