year,product_code,plant,segment,sales_qty,sales_amount,unit_price,customer_name
2022,P001,B,automotive,887,1343295.62,1514.43,AUTOMOTIVE-C4
2022,P001,B,construction,690,1037232.22,1503.24,CONSTRUCTION-C4
2022,P002,A,chemical,1397,1906850.17,1364.96,CHEMICAL-C4
2022,P002,A,others,1586,2290444.19,1444.16,OTHERS-C5
2022,P003,B,automotive,1347,1707135.52,1267.36,AUTOMOTIVE-C3
2022,P003,B,electronics,1034,1122752.22,1085.83,ELECTRONICS-C2
2022,P004,A,automotive,1684,2541298.85,1509.08,AUTOMOTIVE-C1
2022,P004,A,chemical,1350,2088723.19,1547.2,CHEMICAL-C2
2022,P005,A,automotive,1008,1586356.0,1573.77,AUTOMOTIVE-C3
2022,P006,B,construction,1653,1866079.7,1128.9,CONSTRUCTION-C1
2022,P006,B,consumer,1063,1271837.71,1196.46,CONSUMER-C3
2022,P006,B,others,1238,1470474.48,1187.78,OTHERS-C2
2022,P007,B,automotive,2333,2557067.85,1096.04,AUTOMOTIVE-C4
2022,P007,A,electronics,1436,1520698.33,1058.98,ELECTRONICS-C2
2022,P008,B,chemical,1547,1968234.44,1272.29,CHEMICAL-C1
2022,P008,A,others,1270,1611498.95,1268.9,OTHERS-C5
2022,P009,B,medical,243,1676111.5,6897.58,MEDICAL-C1
2022,P010,A,electronics,166,1065572.98,6419.11,ELECTRONICS-C4
2022,P011,B,medical,236,1802313.95,7636.92,MEDICAL-C5
2022,P012,B,electronics,213,1517971.66,7126.63,ELECTRONICS-C3
2022,P013,A,chemical,179,1131682.58,6322.25,CHEMICAL-C1
2022,P013,A,others,286,1809535.98,6327.05,OTHERS-C5
2022,P014,B,food_beverage,130,802019.3,6169.38,FOOD_BEVERAGE-C5
2022,P015,A,construction,247,1765480.49,7147.69,CONSTRUCTION-C2
2022,P015,B,automotive,224,1576206.76,7036.64,AUTOMOTIVE-C4
2022,P016,B,medical,324,2492047.23,7691.5,MEDICAL-C4
2022,P017,A,chemical,292,1898790.35,6502.71,CHEMICAL-C4
2022,P018,A,electronics,438,3057097.54,6979.67,ELECTRONICS-C4
2022,P019,B,electronics,433,2692617.09,6218.52,ELECTRONICS-C5
2022,P020,B,automotive,377,2699680.31,7160.96,AUTOMOTIVE-C3
